No.,Question,Image,Image_1,Options,Answer,Topic,Level,Paper,Difficulty,Objective,Unique identifier
11,Butter and buttermilk are goods in joint supply. Supply curves in both markets slope upwards to the right. Health concerns cause people to reduce their consumption of butter. What are the initial consequences of this for supply in the markets for butter and buttermilk?,9708_m23_qp_12_11.png,,"A move left along supply curve, move left along supply curve
B move left along supply curve, shift left of the supply curve
C shift left of the supply curve, move left along supply curve
D shift left of the supply curve, shift left of the supply curve",B,Topic 2: The price system and the microeconomy,AS,9708_m23_qp_12,Medium,Analysis,9708_m23_qp_12_11
12,"The diagram shows the demand and supply of a good. When the market is in equilibrium, which area measures the difference between what consumers are willing and able to pay and what producers receive at that output?",9708_m23_qp_12_12.png,,"A x
B y
C x+y
D x-y",A,Topic 2: The price system and the microeconomy,AS,9708_m23_qp_12,Medium,Analysis,9708_m23_qp_12_12
13,Why do some local governments subsidise the provision of bicycles to encourage their use?,,,"A Consumers are afraid of having car accidents.
B Consumers are unable to afford bicycles.
C Consumers are not aware of the external benefits of using bicycles.
D Consumers ignore the external costs of using bicycles.",C,Topic 3: Government microeconomic intervention,AS,9708_m23_qp_12,Medium,Analysis,9708_m23_qp_12_13
14,The table shows Gini coefficients for both income and wealth in two countries. Which statement is correct?,9708_m23_qp_12_14.png,,"A Gini coefficients are not comparable between income and wealth because one is a flow concept and the other is a stock concept.
B Income inequality is greater in country P than in country Q.
C Wealth inequality is greater in country P than in country Q.
D Wealth inequality is greater than income inequality in both countries.",B,Topic 1: Basic economic ideas and resource allocation,AS,9708_m23_qp_12,Difficult,Evaluation,9708_m23_qp_12_14
15,A government is faced with rising inflation. It wishes to reduce inflationary pressure while avoiding a fall in output. Which action is most likely to meet its needs?,,,"A an increase in laws to promote competition
B an increase in taxation
C an increase in the budget surplus
D an increase in the exchange rate",A,Topic 5: Government macroeconomic intervention,AS,9708_m23_qp_12,Medium,Application,9708_m23_qp_12_15
16,The table shows selected information from a country's national accounts. What is the country's net national income?,9708_m23_qp_12_16.png,,"A $19 billion
B $25 billion
C $31 billion
D $33 billion",A,Topic 4: The macroeconomy,AS,9708_m23_qp_12,Medium,Application,9708_m23_qp_12_16
17,The graphs show the changes in the exchange rates of the pound sterling (£) against the US dollar (US$) and the euro (€) between the years 2001 and 2003. What happened to the value of the £ between the years 2001 and 2003?,9708_m23_qp_12_17.png,,"A The £ appreciated against the US$ and depreciated against the €.
B The £ appreciated against the US$ and the €.
C The £ depreciated against the US$ and appreciated against the €.
D The £ depreciated against the US$ and the €.",A,Topic 4: The macroeconomy,AS,9708_m23_qp_12,Medium,Analysis,9708_m23_qp_12_17
18,Which statement about the circular flow of income is correct?,,,"A Exports and imports do not affect the equilibrium level of national income because they always cancel each other out.
B The greater the level of saving, the greater the level of injections in the form of investment must be.
C When consumers use past savings to increase their spending, there will be a rise in national income.
D When a government increases withdrawals by increasing the rate of income tax, there must be an equivalent increase in injections to compensate.",C,Topic 4: The macroeconomy,AS,9708_m23_qp_12,Easy,Recall,9708_m23_qp_12_18
19,The graph shows a country's average annual inflation rate over a five-year period. What can be concluded about the general price level during the five years?,9708_m23_qp_12_19.png,,"A It fell in only one year.
B It fell in only two years.
C It rose in only two years.
D It was constant in only one year.",A,Topic 4: The macroeconomy,AS,9708_m23_qp_12,Medium,Analysis,9708_m23_qp_12_19
20,"In an economy, wages and prices are both rising but wages are rising faster. Which features are likely to exist in this economy?",9708_m23_qp_12_20.png,,"A cost-push inflation: no, rise in real incomes: no
B cost-push inflation: no, rise in real incomes: yes
C cost-push inflation: yes, rise in real incomes: no
D cost-push inflation: yes, rise in real incomes: yes",D,Topic 4: The macroeconomy,AS,9708_m23_qp_12,Difficult,Evaluation,9708_m23_qp_12_20
21,"The diagram shows the aggregate demand (AD) and long-run aggregate supply (LRAS) curves for a country. X is the original equilibrium position. In one year, over one million foreign workers left the country and at the same time the country's currency appreciated against the currencies of its major trading partners. What will be the most likely new equilibrium position for this country?",9708_m23_qp_12_21.png,,"A
B
C
D",C,Topic 4: The macroeconomy,AS,9708_m23_qp_12,Difficult,Analysis,9708_m23_qp_12_21
22,What is most likely to cause a rise in a country's exchange rate?,,,"A a fall in its direct taxes
B a fall in its export orders
C a rise in its interest rates
D a rise in its imports",C,Topic 4: The macroeconomy,AS,9708_m23_qp_12,Medium,Understanding,9708_m23_qp_12_22
23,Which change affecting the foreign exchange market for the US$ would be most likely to result in a shift to the right of the demand curve and a movement along the supply curve?,,,"A The US government reduces subsidies on exports to the EU.
B Foreign currency speculators in Switzerland believe that the US$ is undervalued and act accordingly.
C The US government intervenes in the foreign exchange market so as to bring about a drop in the value of the US$.
D US pharmaceutical companies experience a fall in demand for their products from the rest of the world.",B,Topic 4: The macroeconomy,AS,9708_m23_qp_12,Difficult,Application,9708_m23_qp_12_23
24,What can be best understood from a knowledge of a country's terms of trade?,,,"A its balance of payments performance
B the purchasing power of its exports
C the standard of living within the country
D the value of its real exchange rate",B,Topic 4: The macroeconomy,AS,9708_m23_qp_12,Easy,Recall,9708_m23_qp_12_24
25,A company produces goods for export only. Which change could cause a rise in the price of its goods while the quantity sold is unchanged?,9708_m23_qp_12_25.png,,"A domestic workers' wages: unchanged, foreign consumers' wages: fall
B domestic workers' wages: fall, foreign consumers' wages: unchanged
C domestic workers' wages: fall, foreign consumers' wages: fall
D domestic workers' wages: rise, foreign consumers' wages: rise",D,Topic 2: The price system and the microeconomy,AS,9708_m23_qp_12,Difficult,Evaluation,9708_m23_qp_12_25
26,Under which current conditions will supply-side policy measures be most likely to achieve a country's key macroeconomic goals?,9708_m23_qp_12_26.png,,"A unemployment level: high, price level: stable
B unemployment level: high, price level: rising
C unemployment level: low, price level: stable
D unemployment level: low, price level: rising",B,Topic 5: Government macroeconomic intervention,AS,9708_m23_qp_12,Difficult,Analysis,9708_m23_qp_12_26
27,Why might a government prefer to use floating exchange rates?,,,"A It allows the government more independence in policy making.
B It encourages the government to build up its foreign exchange reserves.
C It eliminates the instability of free markets.
D It gives firms more confidence in future costs and prices.",A,Topic 5: Government macroeconomic intervention,AS,9708_m23_qp_12,Medium,Understanding,9708_m23_qp_12_27
28,What is least likely to rise as a result of the use of expansionary fiscal policy?,,,"A aggregate demand
B budget surplus
C nominal income
D inflation",B,Topic 5: Government macroeconomic intervention,AS,9708_m23_qp_12,Medium,Understanding,9708_m23_qp_12_28
29,The table shows GDP indices for a country over a three-year period. Inflation and economic growth are two macroeconomic policy objectives. Which row gives a correct assessment of the country’s achievement of these two objectives over the period?,9708_m23_qp_12_29.png,9708_m23_qp_12_29_1.png,"A rate of inflation: cannot tell, rate of economic growth: positive
B rate of inflation: declining, rate of economic growth: cannot tell
C rate of inflation: positive, rate of economic growth: declining
D rate of inflation: rising, rate of economic growth: negative",C,Topic 4: The macroeconomy,AS,9708_m23_qp_12,Difficult,Analysis,9708_m23_qp_12_29
30,A government raises interest rates to improve the current account of the balance of payments. What might reduce the effectiveness of this policy?,,,"A a fall in domestic growth
B consumer pessimism
C increased domestic saving
D price-elastic demand for exports",D,Topic 5: Government macroeconomic intervention,AS,9708_m23_qp_12,Difficult,Evaluation,9708_m23_qp_12_30
1,Polio vaccination is provided free of charge in some countries. How can this service be classified?,,,"A a demerit good
B a free good
C a merit good
D a public good",C,Topic 1: Basic economic ideas and resource allocation,AS,9708_s26_qp_12,Easy,Understanding,9708_s26_qp_12_1
2,"If the economy is producing at the boundary of its PPC, which statement is not correct?",99708_s26_qp_12_2.png,,"A The economy is always producing both goods and services.
B The economy is using all of the available resources.
C The opportunity cost of producing goods is constant.
D There is no unemployment in the economy.",A,Topic 1: Basic economic ideas and resource allocation,AS,9708_s26_qp_12,Medium,Analysis,9708_s26_qp_12_2
3,"In the diagram, JK is an economy's original production possibility curve (PPC). What can cause the PPC to shift from JK to JL?",99708_s26_qp_12_3.png,,"A a fall in output per worker of manufactured goods
B a fall in the demand for manufactured goods
C a rise in the quality of technology used in manufactured goods
D a rise in unemployment in the manufacturing sector",A,Topic 1: Basic economic ideas and resource allocation,AS,9708_s26_qp_12,Medium,Analysis,9708_s26_qp_12_3
4,What is the most likely problem when a government provides public goods?,,,"A consumption of the good is rivalrous
B not all consumers are able to consume the good
C scarce resources may not be used in the most desirable way
D there may be underconsumption of the good",C,Topic 1: Basic economic ideas and resource allocation,AS,9708_s26_qp_12,Easy,Understanding,9708_s26_qp_12_4
5,Which statement about economics is not correct?,,,"A Economic actions can produce unexpected side effects.
B Economic thinking is usually based on logical reasoning at the margin.
C The use of scarce resources to produce a good always has a cost.
D The value of a good or service involves a purely objective judgement.",D,Topic 1: Basic economic ideas and resource allocation,AS,9708_s26_qp_12,Easy,Recall,9708_s26_qp_12_5
6,"If the price elasticity of supply for a good is three and the price of the good increases by 10%, what is the increase in quantity supplied?",,,"A 3%
B 7%
C 30%
D 33.3%",C,Topic 2: The price system and the microeconomy,AS,9708_s26_qp_12,Easy,Application,9708_s26_qp_12_6
7,The diagram shows an outward shift in the supply curve of televisions from S₁ to S₂. What may cause this shift?,99708_s26_qp_12_7.png,,"A an increase in consumer incomes
B an increase in the cost of raw materials
C an increase in the price of complements
D an increase in the size of the working population",D,Topic 2: The price system and the microeconomy,AS,9708_s26_qp_12,Medium,Analysis,9708_s26_qp_12_7
8,The demand for housing continues to rise as real incomes increase and more construction firms enter the market to build more houses. Which diagram represents this situation?,99708_s26_qp_12_8.png,,"A Both D and S curves shift rightward.
B D shifts rightward, S shifts leftward.
C D shifts leftward, S shifts rightward.
D Both D and S curves shift leftward.",A,Topic 2: The price system and the microeconomy,AS,9708_s26_qp_12,Medium,Analysis,9708_s26_qp_12_8
9,The demand curve for a product is perfectly elastic and the supply curve is unit elastic. What is the value of the consumer surplus and producer surplus?,99708_s26_qp_12_9.png,,"A between zero and infinity / zero
B infinity / zero
C zero / zero
D zero / between zero and infinity",D,Topic 2: The price system and the microeconomy,AS,9708_s26_qp_12,Difficult,Evaluation,9708_s26_qp_12_9
10,The price of a pizza has increased from $8 to $10. This leads to a decrease in quantity demanded of 12.5%. What is the price elasticity of demand of pizza?,,,"A 0.5
B 0.8
C 1.6
D 2.0",A,Topic 2: The price system and the microeconomy,AS,9708_s26_qp_12,Easy,Application,9708_s26_qp_12_10
11,What would be categorised as direct government provision of goods and services?,,,"A a government grant to a firm to provide healthcare services
B a government regulation on the amount of sugar in soft drinks
C a government subsidy to a firm that operates a regional train service
D a government takeover of a local bus service",D,Topic 3: Government microeconomic intervention,AS,9708_s26_qp_12,Easy,Recall,9708_s26_qp_12_11
12,What is a transfer payment?,,,"A advertising expenses incurred by a charity organisation
B food vouchers to help low-income households pay for food
C interest-free study loans given to deserving students by the government
D salary paid to a nurse working in a hospital that provides free treatment",B,Topic 3: Government microeconomic intervention,AS,9708_s26_qp_12,Easy,Recall,9708_s26_qp_12_12
13,The diagram shows the impact of a government subsidy on the provision of a merit good... What is the total cost of the subsidy?,99708_s26_qp_12_13.png,,"A $200
B $400
C $800
D $1200",C,Topic 3: Government microeconomic intervention,AS,9708_s26_qp_12,Medium,Application,9708_s26_qp_12_13
14,Which combination of measures is likely to reduce inequality in income and wealth the most?,99708_s26_qp_12_14.png,,"A less progressive / lower threshold / increase
B less progressive / raise threshold / decrease
C more progressive / lower threshold / increase
D more progressive / raise threshold / decrease",C,Topic 3: Government microeconomic intervention,AS,9708_s26_qp_12,Difficult,Evaluation,9708_s26_qp_12_14
15,"Health services in an economy are provided by private clinics... The government decides health services should be provided for everyone, not based on ability to pay. Which direct action should it take?",,,"A build government clinics, that charge low fees, to compete in the market
B close private clinics where provision by the market is inadequate
C increase the taxes on profits made by private clinics
D nationalise private clinics and remove charging",D,Topic 3: Government microeconomic intervention,AS,9708_s26_qp_12,Difficult,Analysis,9708_s26_qp_12_15
16,Why might Gross Domestic Product (GDP) not be a useful measure of economic output?,,,"A Application of technology has enabled a smaller workforce...
B Damage to the environment is often unquantified or even ignored.
C Land reclamation has created more urban space...
D Shortages in labour supplies have been overcome by migration.",B,Topic 4: The macroeconomy,AS,9708_s26_qp_12,Easy,Understanding,9708_s26_qp_12_16
17,What adjustment is made to change the value of Gross Domestic Product (GDP) from market prices to basic prices?,,,"A add indirect taxes and add subsidies
B add indirect taxes and deduct subsidies
C deduct indirect taxes and add subsidies
D deduct indirect taxes and deduct subsidies",C,Topic 4: The macroeconomy,AS,9708_s26_qp_12,Easy,Recall,9708_s26_qp_12_17
18,What are injections into the circular flow of income?,,,"A government spending, investment and exports
B government spending, savings and imports
C investment, savings and exports
D investment, taxes and imports",A,Topic 4: The macroeconomy,AS,9708_s26_qp_12,Easy,Recall,9708_s26_qp_12_18
19,What will decrease if the level of employment falls?,,,"A labour force
B actual output
C productive capacity
D potential output",B,Topic 4: The macroeconomy,AS,9708_s26_qp_12,Easy,Understanding,9708_s26_qp_12_19
20,What is the most likely new equilibrium point if there is increased productivity in the manufacture of goods produced for the domestic market?,99708_s26_qp_12_20.png,,"A Point A (down and to the right along AD)
B Point B
C Point C
D Point D",A,Topic 4: The macroeconomy,AS,9708_s26_qp_12,Medium,Analysis,9708_s26_qp_12_20
21,What is the main objective of supply-side policies?,,,"A to bring potential output up to actual output
B to ensure a budget surplus
C to ensure output matches the pattern of demand
D to increase potential output",D,Topic 5: Government macroeconomic intervention,AS,9708_s26_qp_12,Easy,Recall,9708_s26_qp_12_21
22,"A government reduced direct taxes on consumers and businesses. What are likely to be the effects on consumption, investment and national output?",99708_s26_qp_12_22.png,,"A decrease / decrease / decrease
B decrease / increase / increase
C increase / decrease / decrease
D increase / increase / increase",D,Topic 5: Government macroeconomic intervention,AS,9708_s26_qp_12,Medium,Analysis,9708_s26_qp_12_22
23,An economy has a GDP of $500 billion. The budget surplus is 2% of GDP. What is the government spending when the tax revenue is $80 billion?,,,"A $60 billion
B $70 billion
C $80 billion
D $90 billion",B,Topic 5: Government macroeconomic intervention,AS,9708_s26_qp_12,Difficult,Application,9708_s26_qp_12_23
24,Which action might be part of an expansionary economic policy?,,,"A reducing the budget deficit
B reducing the level of government spending
C reducing the money supply
D reducing the rate of interest",D,Topic 5: Government macroeconomic intervention,AS,9708_s26_qp_12,Easy,Understanding,9708_s26_qp_12_24
25,What is not included in government spending (G) while calculating aggregate demand (AD)?,,,"A education
B healthcare
C roads
D transfer payments",D,Topic 4: The macroeconomy,AS,9708_s26_qp_12,Easy,Recall,9708_s26_qp_12_25
26,The US dollar ($) has appreciated by 12% against an average of other major trading currencies. What is likely to have caused this?,,,"A an increase in the US imports
B an increase in the US interest rate
C an increase in the US money supply
D an increase in the US employment rate",B,Topic 6: International economic issues,AS,9708_s26_qp_12,Medium,Understanding,9708_s26_qp_12_26
27,What is the least likely outcome for participating countries of a move towards free trade?,,,"A a greater product choice
B a more equal distribution of income
C greater international specialisation
D higher standards of living",B,Topic 6: International economic issues,AS,9708_s26_qp_12,Medium,Evaluation,9708_s26_qp_12_27
28,Which government measure would reduce protectionism?,,,"A an increase in product safety standards
B an increase in subsidies to domestic firms
C an increase in the level of import quotas
D an increase in the rate of import duties",C,Topic 6: International economic issues,AS,9708_s26_qp_12,Easy,Understanding,9708_s26_qp_12_28
29,Which policy will lead to a fall in the volume of goods imported?,,,"A a cut in income tax rates
B a cut in interest rates
C an increase in import tariffs
D an increase in spending on domestic tourism",C,Topic 6: International economic issues,AS,9708_s26_qp_12,Medium,Application,9708_s26_qp_12_29
30,What will cause the demand curve to shift to D₂ and the supply curve to S₂ on the foreign exchange market for the pound sterling (£)?,99708_s26_qp_12_30.png,,"A a decrease in the price levels of other countries
B a depreciation of the pound sterling
C a reduction in the level of UK import tariffs
D an increase in UK interest rates",A,Topic 6: International economic issues,AS,9708_s26_qp_12,Difficult,Analysis,9708_s26_qp_12_30
1,What is not a reward to a factor of production?,,,"A interest
B rent
C transfer payments
D wages",C,Topic 1: Basic economic ideas and resource allocation,AS,9708_m26_qp_12,Easy,Recall,9708_m26_qp_12_1
2,"A worker in a furniture factory currently works 10 hours a day. In the diagram, WX is the worker's initial production possibility curve (PPC). Changes in the factory cause the worker's PPC to shift to YZ. What will be the worker's hours per day and productivity as a result of the changes in the furniture factory, assuming the worker is on the new PPC?",,,"A 10 hours / 1.0 tables per hour / 2.4 chairs per hour
B 10 hours / 0.8 tables per hour / 2.0 chairs per hour
C 8 hours / 0.8 tables per hour / 3.0 chairs per hour
D 8 hours / 1.0 tables per hour / 3.0 chairs per hour",D,Topic 1: Basic economic ideas and resource allocation,AS,9708_m26_qp_12,Difficult,Application,9708_m26_qp_12_2
3,Why is choice central to the economic problem?,,,"A Different governments have different objectives.
B Firms have access to unlimited resources.
C Most resources have alternative uses.
D People's wants are limited.",C,Topic 1: Basic economic ideas and resource allocation,AS,9708_m26_qp_12,Easy,Recall,9708_m26_qp_12_3
4,"Ravi is a public sector worker. He visits the subsidised state-owned cafeteria daily to purchase mangoes, apples and bananas for 80 rupees and then shares his food with Anushka. What is the most likely classification of these goods?",,,"A demerit and public goods
B economic and public goods
C free and private goods
D merit and private goods",D,Topic 1: Basic economic ideas and resource allocation,AS,9708_m26_qp_12,Medium,Understanding,9708_m26_qp_12_4
5,In the diagram the original production possibility curve is LM. What could cause the curve to shift to NP?,,,"A a fall in the working population
B a reallocation of resources from consumer goods to capital goods
C an increase in output per worker
D an increase in unemployment",A,Topic 1: Basic economic ideas and resource allocation,AS,9708_m26_qp_12,Medium,Analysis,9708_m26_qp_12_5
6,What is cross elasticity of demand?,,,"A the responsiveness of price of good X to a change in demand of good Y
B the responsiveness of quantity demanded of a good to a change in its price
C the responsiveness of quantity demanded of good X to a change in quantity of good Y
D the responsiveness of quantity demanded of good X to a change in the price of good Y",D,Topic 2: The price system and the microeconomy,AS,9708_m26_qp_12,Easy,Recall,9708_m26_qp_12_6
7,An increased demand for cars leads to an increased demand for steel. What best describes this relationship between cars and steel?,,,"A substitutes
B complements
C derived demand
D joint supply",C,Topic 2: The price system and the microeconomy,AS,9708_m26_qp_12,Easy,Understanding,9708_m26_qp_12_7
8,The diagram shows the demand for and supply of electric cars. The government implements a subsidy for electric cars. Which area represents the size of consumer surplus for those willing to buy an electric car when the price is P2?,,,"A T
B TUVW
C UVW
D XY",B,Topic 2: The price system and the microeconomy,AS,9708_m26_qp_12,Difficult,Analysis,9708_m26_qp_12_8
9,How might a firm raise the value of the price elasticity of supply for its product?,,,"A decrease the amount of labour that it employs
B employ new technology to increase its productive capacity
C increase advertising expenditure to generate more revenue
D reduce the level of stocks in order to cut costs",B,Topic 2: The price system and the microeconomy,AS,9708_m26_qp_12,Medium,Understanding,9708_m26_qp_12_9
10,"An economy is experiencing a fall in real GDP. Also, deflation has caused the prices of four goods, A, B, C and D to each fall by 5%. Which good is likely to enjoy the largest increase in its sales revenue?",,,"A YED: +0.5 / PED: -1.5
B YED: +1.5 / PED: -1.0
C YED: -0.5 / PED: -1.0
D YED: -1.5 / PED: -1.5",D,Topic 2: The price system and the microeconomy,AS,9708_m26_qp_12,Difficult,Evaluation,9708_m26_qp_12_10
11,What is the definition of a subsidy?,,,"A A maximum price set by private sector firms lowering the costs of production.
B A minimum price set by the government lowering private sector firms' costs of production.
C A payment made by the government to private sector firms lowering their costs of production.
D The removal of laws and rules regulating private sector firms lowering the costs of production.",C,Topic 3: Government microeconomic intervention,AS,9708_m26_qp_12,Easy,Recall,9708_m26_qp_12_11
12,What is not a reason for greater inequality in the distribution of income in an economy?,,,"A a lack of employment opportunities
B decreased welfare payments
C increased progressive taxation
D poor vocational training",C,Topic 3: Government microeconomic intervention,AS,9708_m26_qp_12,Easy,Understanding,9708_m26_qp_12_12
13,The diagram shows a market where a government has set a minimum price of OM. What can be concluded from the diagram?,,,"A At prices above OM, there would be a surplus of the good.
B At the minimum price OM, there would be a shortage of the good.
C Price will fall automatically from OM to OP.
D The minimum price will be ineffective.",A,Topic 3: Government microeconomic intervention,AS,9708_m26_qp_12,Medium,Analysis,9708_m26_qp_12_13
14,Which type of road might be classified as a public good?,,,"A A road bridge that charges a toll to cross.
B A road that is closed to traffic on some days.
C A road that is congested during peak times.
D A road that is used by very few vehicles.",D,Topic 1: Basic economic ideas and resource allocation,AS,9708_m26_qp_12,Medium,Understanding,9708_m26_qp_12_14
15,Governments are trying to reduce the burden of transfer payments in economies with an ageing population. Which policy would help to achieve this aim?,,,"A introducing financial support for university students
B linking pension increases to the consumer price index during inflation
C raising the retirement age
D reducing state pensions to finance an equal rise in unemployment benefit",C,Topic 3: Government microeconomic intervention,AS,9708_m26_qp_12,Medium,Evaluation,9708_m26_qp_12_15
16,What do the numbers represent on the diagram?,,,"A 1: factor payments, 2: saving, 3: investment, 4: consumer spending
B 1: factor payments, 2: investment, 3: consumer spending, 4: saving
C 1: factor payments, 2: consumer spending, 3: saving, 4: investment
D 1: saving, 2: factor payments, 3: investment, 4: consumer spending",B,Topic 4: The macroeconomy,AS,9708_m26_qp_12,Medium,Application,9708_m26_qp_12_16
17,An individual was temporarily unemployed but found a job quickly. Which type of unemployment is this?,,,"A cyclical unemployment
B frictional unemployment
C seasonal unemployment
D structural unemployment",B,Topic 4: The macroeconomy,AS,9708_m26_qp_12,Easy,Recall,9708_m26_qp_12_17
18,The table shows real GDP at basic prices for two countries. What is the most likely reason for the difference in real GDP between the two countries?,,,"A Country X has a higher level of subsidies than country Y.
B Country X has a higher rate of inflation than country Y.
C Country X has higher spending on agriculture than country Y.
D Country X has a higher value of final output than country Y.",D,Topic 4: The macroeconomy,AS,9708_m26_qp_12,Medium,Analysis,9708_m26_qp_12_18
19,What will not shift the vertical part of the long run Aggregate Supply curve?,,,"A a fall in factor prices
B immigration of skilled labour
C improved education and training
D technological advancement",A,Topic 4: The macroeconomy,AS,9708_m26_qp_12,Medium,Understanding,9708_m26_qp_12_19
20,The table below shows inflation data for an economy. Which statement is correct?,,,"A disinflation occurred in 2022
B prices decreased between 2021 and 2024
C prices were at their lowest in 2023
D prices were higher in 2021 than in 2023",A,Topic 4: The macroeconomy,AS,9708_m26_qp_12,Medium,Analysis,9708_m26_qp_12_20
21,Which policy mainly deals with managing public finances?,,,"A environmental policy
B fiscal policy
C monetary policy
D supply-side policy",B,Topic 5: Government macroeconomic intervention,AS,9708_m26_qp_12,Easy,Recall,9708_m26_qp_12_21
22,What is not a supply-side policy measure?,,,"A deregulating industry to encourage more competitive markets
B linking unemployment benefits to the obligation to look for work
C tackling cyclical slump by lowering interest rates
D tackling structural unemployment by giving grants for labour mobility",C,Topic 5: Government macroeconomic intervention,AS,9708_m26_qp_12,Easy,Understanding,9708_m26_qp_12_22
23,Monetary policy can be used to increase the level of business activity. Which action illustrates this?,,,"A curbing consumption through controls on credit
B easing credit regulations for banks to increase lending
C reducing government spending to achieve a budget surplus
D stimulating company investments by increasing interest rates",B,Topic 5: Government macroeconomic intervention,AS,9708_m26_qp_12,Medium,Understanding,9708_m26_qp_12_23
24,There is an increase in the income of individuals. Which of the following shows a regressive tax system?,,,"A The amount of income tax paid remains unchanged.
B The marginal income tax rate exceeds the average tax rate.
C The income tax rate remains unchanged.
D The income tax rate rises.",A,Topic 5: Government macroeconomic intervention,AS,9708_m26_qp_12,Medium,Understanding,9708_m26_qp_12_24
25,Which combination correctly classifies an expansionary fiscal policy measure and its impact on a budget deficit?,,,"A increased money supply / unchanged
B increased welfare spending / increased
C higher income tax / reduced
D lower interest rates / unchanged",B,Topic 5: Government macroeconomic intervention,AS,9708_m26_qp_12,Medium,Application,9708_m26_qp_12_25
26,What would cause an immediate increase in the deficit in a country's current account balance on the balance of payments?,,,"A a rise in government expenditure on education
B a rise in the cost of imported raw materials used in domestic production
C a rise in the foreign ownership of domestic companies
D a rise in the total wages earned by nationals working abroad",B,Topic 6: International economic issues,AS,9708_m26_qp_12,Medium,Analysis,9708_m26_qp_12_26
27,What must be true for a country whose Terms of Trade (TOT) deteriorate?,,,"A Exports fall faster than imports.
B Export prices fall more slowly than import prices.
C Export prices rise more slowly than import prices.
D Domestic goods become less price competitive.",C,Topic 6: International economic issues,AS,9708_m26_qp_12,Easy,Recall,9708_m26_qp_12_27
28,Countries X and Y both produce and trade in good Z. What may cause a reduction in quantity supplied by domestic producers of good Z in country X?,,,"A a quota on imports of good Z into country X
B a subsidy on exports of good Z from country Y
C a tariff on imports of good Z into country X
D extra regulations on imports of good Z into country X",B,Topic 6: International economic issues,AS,9708_m26_qp_12,Medium,Analysis,9708_m26_qp_12_28
